Geneid	length	WT_Pmm2_5_4	WT_Pmm2_5_3	WT_Pmm2_5_2	Mutant_Pmm2_5_5	Mutant_Pmm2_5_2	Mutant_Pmm2_5_4	Mutant_Pmm2_5_1	Mutant_Pmm2_5_3
serinc1	2361	290	418	6999	6185	2925	737	1605	2173
hsf2	2043	170	450	2875	2983	1850	380	532	908
cx43	2849	302	411	6278	5677	3311	670	1319	3193
cx32.2	1413	97	166	26	60	14	1	9	29
cx28.1	1004	50	169	19	7	7	0	0	0
cx28.9	2497	247	270	2332	2540	897	259	224	1920
cx32.3	1341	87	190	741	992	632	121	56	588
cx34.5	1328	50	178	2	75	1	1	3	101
hsdl1	1571	75	217	120	205	25	7	14	66
tbc1d32	5261	356	1194	936	593	397	112	167	370
man1a1	2430	318	567	3095	2592	1237	383	715	1192
fam184a	4527	409	833	2186	1792	958	179	606	515
mcm9	4539	320	954	425	367	217	34	103	122
cep85l	3424	311	619	1378	912	652	167	314	358
pln	2984	112	372	803	808	350	59	219	423
si:dkeyp-114g9.1	2091	149	378	85	84	35	11	14	96
slc35f1	1963	175	438	551	379	250	58	161	282
nus1	1265	100	256	705	2116	1440	216	609	1190
gopc	2202	199	397	1020	1138	511	108	317	709
dcbld1	2930	227	554	1035	884	260	106	201	447
vgll2a	1163	118	246	347	332	134	55	66	274
rfx6	4454	249	812	48	44	22	16	12	253
si:dkeyp-93d12.1	6667	278	881	207	262	44	23	29	355
trnal-cag_265	83	17	8	10	0	0	0	12	0
igf2r	9244	809	1823	6305	5616	3160	729	1423	2828
slc22a2	2822	236	449	1372	1149	950	297	191	837
plg	3176	260	450	4222	3197	1905	425	620	1472
si:ch211-140l13.3	3461	204	582	82	117	79	11	37	84
gpr31	2564	95	255	327	410	153	60	70	126
ttll2	2213	138	326	43	98	58	16	43	36
LOC110438190	470	13	33	18	0	0	0	0	0
pimr115	2751	9	47	7	0	0	0	0	0
LOC110438189	329	15	14	0	0	0	0	7	0
LOC108180344	477	1	14	0	0	0	0	0	0
pimr213	3663	26	110	1	0	0	0	0	0
pimr113	1703	4	25	0	0	0	0	0	0
LOC108180238	1503	18	30	6	0	0	0	0	0
LOC797974	1844	7	10	0	0	0	0	0	0
LOC110438191	256	0	4	0	0	0	0	0	0
LOC110438167	1544	1	15	0	0	0	0	0	0
LOC798107	843	0	4	0	0	0	0	0	0
LOC110438171	336	4	7	0	0	0	0	0	0
pimr112	1445	0	4	0	0	0	0	0	0
LOC108180340	843	0	0	0	0	0	0	0	0
LOC110438192	1099	3	1	0	0	0	0	0	0
pimr110	2526	0	1	0	0	0	0	0	0
efr3bb	3969	121	440	756	372	349	70	236	214
pomcb	899	37	63	21	40	43	2	5	0
si:ch211-203k16.3	1962	33	95	56	45	0	1	3	0
snx9b	2936	121	304	1127	1260	634	130	253	562
moxd1l	1695	59	155	78	47	54	24	34	26
dusp23a	1121	0	0	1	0	0	0	2	0
mllt4a	6146	761	1404	7691	5913	3360	922	2061	2273
unc93a	1813	99	280	123	213	76	14	48	122
pimr138	4069	135	506	76	108	23	9	18	24
pimr109	1686	83	235	14	25	1	2	11	62
LOC110438194	458	22	73	0	21	0	1	1	63
pimr133	1674	32	136	10	19	0	0	0	0
LOC110438193	250	4	17	12	0	0	0	0	45
pimr132	1838	43	195	46	15	13	0	2	0
pimr134	2105	162	354	46	12	38	0	16	101
LOC560496	2737	65	248	0	1	0	0	9	37
LOC110438195	253	8	37	0	12	0	0	3	0
pimr124	1634	57	157	0	29	0	0	0	54
si:dkey-206f10.1	4369	302	767	1055	981	222	104	202	564
parp1	3802	297	656	2247	1847	936	213	562	903
lin9	2413	149	499	586	472	254	76	108	418
mixl1	2614	116	315	78	86	21	12	14	79
si:dkeyp-50f7.2	2361	155	403	41	110	51	8	11	0
ttc32	518	20	109	146	95	62	16	24	122
matn3a	2146	260	247	5557	5036	2025	402	1142	2310
laptm4a	1818	208	345	4300	4270	1696	526	848	1461
mark3b	5114	505	1085	3955	3701	1648	323	981	1802
clic5b	1878	136	387	1440	1499	487	190	203	731
runx2b	6667	362	860	517	462	166	96	81	504
opn8a	1008	83	163	8	59	29	0	8	0
opn8b	3834	197	345	556	528	274	20	112	311
mut	2893	270	611	2817	2832	1578	381	724	1365
fkbp1b	1025	98	159	1466	1159	372	54	209	759
wdcp	2633	145	318	469	459	158	51	90	228
si:dkeyp-115a10.3	2138	191	407	577	641	420	69	146	284
ubxn2a	4095	219	527	794	579	536	92	216	244
atad2b	5308	607	1378	4245	3164	2040	381	1186	1589
klhl29	3766	341	642	2570	1531	686	189	572	430
LOC110438196	127	41	32	270	233	54	42	37	369
trib2	3191	287	397	2443	2080	1083	270	677	1078
trnal-uaa_45	83	1	5	0	0	0	0	7	0
trnal-uaa_46	83	1	2	0	0	0	0	0	0
trnal-uaa_47	83	1	7	0	0	0	0	0	0
trnal-uaa_48	83	1	5	0	0	0	0	0	0
trnal-uaa_49	83	0	6	0	0	0	0	0	0
trnal-uaa_50	83	0	0	0	0	0	0	0	0
trnal-uaa_51	83	5	16	0	0	0	0	0	0
trnal-uaa_52	83	9	16	33	0	0	0	0	37
trnal-uaa_53	83	5	16	1	0	0	0	0	0
gzf1	2722	152	424	516	363	245	54	133	301
napbb	2127	165	368	1761	1333	628	109	348	485
gpcpd1	2957	341	637	3461	3386	1820	512	670	2337
chgb	2830	282	565	1671	1400	873	135	278	1031
trmt6	1589	154	436	530	544	280	68	188	206
fermt1	2278	189	521	727	817	501	77	142	458
LOC108180244	286	0	0	0	14	0	0	0	0
bmp2b	1982	0	0	0	0	0	0	0	0
LOC110438197	1218	0	0	0	0	0	0	0	0
si:ch211-213i16.4	1170	17	58	42	222	93	54	24	27
si:ch211-213i16.3	2241	19	75	162	471	653	105	131	90
si:dkey-7c18.24	810	0	0	3	7	18	1	5	0
taar12j	1024	0	1	0	0	0	0	0	0
taar12h	1036	0	0	0	0	0	0	0	0
taar12e	1016	0	0	0	0	0	0	0	0
taar12g	1012	0	0	0	0	0	0	0	0
taar12f	1188	0	0	0	0	0	0	0	0
taar12a	1033	0	0	0	0	0	0	0	0
taar12b	1015	0	0	0	0	0	0	0	0
taar12c	1018	0	0	0	0	0	0	0	0
taar12i	1023	0	0	0	0	0	0	0	0
taar1b	1000	0	0	0	0	0	0	0	0
taar11	1965	0	0	0	0	0	0	0	0
taar10b	2011	0	0	0	0	0	0	0	0
taar10d	1195	0	0	0	0	0	0	0	0
taar10c	1012	0	0	0	0	0	0	0	0
taar10a	1717	0	0	0	0	0	0	0	0
taar10	1494	0	0	0	0	0	0	0	0
taar13e	1026	0	0	0	0	0	0	0	0
taar64	1028	0	0	0	0	0	0	0	0
taar13b	1026	0	0	0	0	0	0	0	0
taar13d	1026	0	0	0	0	0	0	0	0
taar13c	1028	0	0	0	0	0	0	0	0
taar15	987	1	0	0	0	0	0	0	0
stx7l	1871	0	1	0	0	0	0	0	0
taar14a	964	0	0	0	0	0	0	0	0
si:dkey-246e3.4	1316	0	0	0	0	0	0	0	0
taar14l	958	4	0	0	0	0	0	0	0
taar14h	965	0	0	0	0	0	0	0	0
taar14i	961	0	0	0	0	0	0	0	0
taar14j	965	0	1	0	0	0	0	0	0
taar14e	987	3	3	0	0	0	0	0	0
taar14g	996	0	0	0	0	0	0	0	0
taar14f	987	0	0	0	0	0	0	0	0
taar14d	987	8	3	0	0	0	0	0	0
taar14b	987	2	13	0	0	0	0	0	12
LOC110438172	837	9	33	5	0	15	0	0	0
flvcr2b	2684	64	129	137	76	92	10	56	48
bmf2	4891	69	214	138	106	141	27	55	190
adgrg11	3582	53	197	56	80	13	6	2	72
rad51	1380	25	82	49	116	0	6	5	0
rmdn3	1719	28	84	57	80	18	6	8	12
LOC110438198	7371	50	187	53	17	13	1	18	50
zc3h14	2333	8	22	24	64	59	11	16	68
eif2b2	1195	0	0	0	28	0	0	0	0
LOC108180267	1392	0	3	0	0	0	0	0	0
tmed10	1755	0	0	0	0	0	0	0	0
fosab	1683	174	304	2083	2707	2089	136	377	343
si:ch211-153j24.3	1771	112	240	172	124	95	26	56	53
batf	1685	103	386	51	47	33	3	9	121
jdp2b	1094	67	112	205	188	160	30	29	0
adcy3b	4347	303	745	104	49	46	9	49	50
wdr26b	5610	481	787	4430	3508	1625	505	1096	1802
LOC103909357	337	15	59	15	12	13	0	5	0
si:ch211-57i17.1	2430	131	367	1258	864	578	89	237	1233
si:ch211-57i17.5	1109	77	148	21	27	22	0	1	78
esrrgb	1937	143	253	240	73	63	25	9	253
gpatch2	6362	302	636	4187	3643	1731	351	988	1713
si:ch73-21k16.1	4368	322	727	768	538	283	89	146	478
si:ch73-21k16.5	2409	217	515	704	582	213	48	110	473
LOC110438199	1654	74	172	22	73	14	1	9	73
dnmt3aa	3907	412	836	2292	1407	786	187	513	736
LOC110438200	1711	24	99	55	1	32	0	0	23
trnat-ugu_236	74	0	4	8	0	0	0	0	0
trnap-cgg_70	72	11	29	0	9	0	0	0	1
trnap-agg_238	72	218	262	31	36	9	2	2	0
trnap-cgg_71	72	21	54	0	1	4	5	0	0
trnap-agg_239	72	2	2	0	0	0	0	0	0
trnap-cgg_72	72	10	9	7	0	0	0	0	0
trnap-agg_240	72	6	23	1	0	0	0	0	0
trnap-agg_241	72	11	44	0	0	0	0	0	0
LOC101885649	554	10	49	11	10	14	0	0	0
si:dkeyp-104f11.6	1673	21	57	33	2	13	2	0	1
LOC101885504	2123	3	13	0	0	0	3	0	0
LOC101885443	2548	35	106	0	0	12	0	5	0
LOC108180351	1979	22	80	32	0	1	2	3	32
trnat-cgu_58	74	21	44	57	1	16	0	3	79
dtnba	3398	439	798	4098	3092	1755	274	876	1402
kif3c	3264	399	602	1815	1399	665	128	404	848
rab10	1320	399	360	7314	6397	3529	744	1302	3792
lin28b	5432	291	566	1663	1878	864	125	322	996
tfap2b	3363	255	562	2032	1141	567	111	367	1052
tfap2d	2752	225	432	648	301	164	31	135	218
hadhb	1941	299	479	5431	4954	2385	657	966	2304
hadhaa	2762	264	573	1117	1319	764	144	295	728
gareml	4070	230	563	365	321	114	32	119	187
prep	2702	281	592	1806	1885	840	180	455	1078
prdm1c	2474	188	437	86	17	77	9	3	166
xkr5	1760	163	260	330	238	134	44	72	159
tram2	1752	204	410	493	552	442	56	121	568
efhc1	1807	177	227	271	219	87	39	34	160
LOC101882949	2656	213	346	350	199	91	21	52	75
ipo13	6340	524	1099	2697	2682	1092	242	677	1335
LOC100002633	2725	199	362	1092	1130	717	161	226	616
LOC562098	1697	113	332	170	174	150	22	39	122
insm1a	2431	159	236	1420	958	645	117	375	425
cfap61	4419	345	859	296	265	120	47	64	268
LOC110438202	2798	10	22	11	13	3	4	3	0
LOC100535061	2794	207	295	198	83	47	17	28	291
mgst3a	775	79	177	1279	1084	535	118	168	347
pax1b	1684	151	302	196	184	92	34	45	154
zgc:110348	1542	122	420	10	74	8	0	8	16
nkx2.2b	1554	69	215	70	105	10	7	13	118
LOC110438203	863	43	116	12	110	0	3	1	76
nkx2.4b	1151	60	128	189	179	156	9	57	65
xrn2	4041	411	1342	3859	4433	2213	513	857	2416
LOC110438201	7674	41	81	24	83	35	6	27	0
LOC110438204	2116	134	180	35	120	17	20	10	173
mir2193	110	3	5	0	17	0	0	0	0
crnkl1	2374	252	571	1770	1291	1264	167	417	950
naa20	742	55	137	1291	833	630	106	172	421
cd109	5056	509	1061	779	712	370	85	217	360
col12a1b	12017	1623	2766	21095	16085	7410	2051	3685	8940
cox7a2b	570	64	211	464	403	229	41	59	111
filip1	5425	369	740	1140	982	437	104	170	388
hmbox1b	3412	306	547	2050	1221	694	201	452	703
kif13bb	7792	727	1678	1577	1821	979	228	411	1234
ints9	2321	309	537	563	601	195	105	155	208
extl3	3760	220	496	1828	1337	588	197	485	788
LOC101885653	1252	38	167	1	9	19	3	0	1
riox1	1703	193	466	1056	1226	758	176	201	472
LOC100535765	360	65	84	1173	802	521	76	165	904
cpsf2	2763	294	704	1263	815	540	149	374	626
slc24a4b	4573	304	740	1525	1121	535	143	379	551
tmem121b	5177	211	510	527	488	199	100	168	239
LOC108180241	721	33	128	72	20	0	4	0	26
fut8b	2666	252	439	412	484	139	64	89	213
LOC101883834	1119	14	40	60	53	15	0	6	128
gphnb	3864	491	914	1800	1159	606	103	428	802
mpp5b	7534	614	1362	2450	1889	926	267	492	1118
atp6v1d	2181	171	290	2358	1861	1032	228	411	1023
eif2s1b	1345	251	216	6611	7150	4166	953	1315	3102
rbm25b	3181	412	753	4094	3319	2484	304	1003	1382
hsp90ab1	2699	2657	719	122157	108162	77020	15552	26303	43477
slc35b2	3083	225	351	1028	1088	600	125	246	833
nfkbie	1756	117	263	555	878	468	115	135	587
tmem151ba	2752	121	207	334	134	74	58	66	82
tcte1	1950	108	223	86	63	61	3	23	115
rnf8	1857	201	375	1292	834	456	111	284	309
LOC100536673	2435	108	204	976	1560	448	190	241	940
si:ch73-91k6.1	345	37	98	1	0	7	0	0	37
LOC108180355	754	38	95	29	4	0	2	11	146
thbd	2186	119	202	196	282	142	15	55	90
tlr5b	2763	154	336	539	330	175	72	105	309
tlr5a	3505	172	371	355	386	119	33	75	376
disp1	4752	360	804	2529	1845	898	286	537	1062
LOC100330838	1690	130	230	263	181	135	34	61	185
fam177b	1900	67	211	38	83	61	24	9	26
LOC110438205	1549	56	216	21	44	33	11	16	45
brox	1558	168	345	1727	1355	726	194	245	510
aida	2426	142	392	1169	983	546	105	168	509
si:ch211-14a11.5	601	2	20	3	0	0	0	1	33
mia3	7175	573	1189	4334	5647	2881	526	1192	2257
taf1a	2065	133	369	374	302	197	53	90	97
dusp10	4687	233	393	1213	838	376	144	288	387
hlx1	2578	149	465	453	633	457	81	74	473
rhpn1	2389	199	487	246	241	129	46	56	167
naprt	2062	161	310	801	563	328	85	163	171
si:ch1073-287p18.1	1077	58	171	222	345	140	28	39	194
arhgap39	4344	446	589	1137	929	608	105	339	174
tsta3	1622	189	322	645	711	253	71	134	439
zgc:100864	4406	258	484	1581	2659	1256	347	461	1166
pycr3	1759	124	346	380	223	210	66	34	187
eef1db	1949	422	361	8745	7754	5657	1114	1668	3356
si:ch211-221n20.8	2967	283	510	338	177	193	14	76	398
LOC101885094	1539	32	53	18	0	0	0	0	0
LOC110438206	1454	9	41	61	3	16	0	1	0
LOC100004253	377	0	10	0	0	0	0	0	0
LOC108180292	1561	16	42	0	2	0	4	6	23
LOC103909365	392	6	32	0	0	4	0	3	2
LOC110438207	1112	14	20	5	24	1	0	2	0
LOC100537633	1150	90	184	43	71	66	18	5	10
LOC101884514	472	54	68	12	65	36	3	4	62
phactr1	1911	213	395	889	678	367	90	218	88
tbc1d7	1362	164	291	891	678	437	93	234	781
wu:fi04e12	8838	686	1161	7773	6651	3576	758	1755	2666
ctsbb	2148	148	253	1522	549	216	52	58	224
fdft1	1997	197	291	1067	602	334	74	207	114
gata4	1142	147	298	907	820	420	88	155	261
LOC101884821	1316	121	211	1242	986	559	120	298	322
irf4l	1044	84	166	77	47	64	22	12	168
LOC569262	2625	221	356	1204	1321	590	94	278	402
LOC100334012	2737	235	515	781	460	230	50	255	305
psmg4	592	46	92	725	651	438	122	107	412
fig4a	1829	192	312	637	696	228	60	149	170
gpr6	1642	77	154	72	61	1	5	16	8
wasf1	2075	257	356	1251	761	344	136	193	406
cdc40	1994	250	463	1427	1305	629	162	275	632
mettl24	1851	161	301	219	134	90	22	57	27
apobb.2	8191	384	890	839	554	235	42	128	355
bub1ba	2419	189	579	245	132	104	31	49	75
pak6b	3167	290	480	422	415	226	46	95	368
myh6	5939	308	923	837	902	552	152	202	675
slc25a29_1	1903	141	269	957	921	674	189	254	730
slc25a47a	4262	149	340	811	1145	588	139	141	664
dio3b	1709	117	189	681	714	799	121	177	1078
LOC110438168	2335	21	25	1	0	0	0	0	0
ppp2r5cb	7759	389	686	5718	4577	2106	540	986	2378
hsp90aa1.2	2413	272	477	3230	2887	1344	251	688	1603
hsp90aa1.1	2384	202	448	3394	2782	1596	215	779	1520
si:dkey-241l7.6	818	54	95	24	0	0	3	7	1
si:dkey-241l7.5	600	28	128	18	0	3	3	3	109
zgc:171670	606	52	145	18	0	6	0	0	0
si:dkey-241l7.3	864	19	38	0	0	0	0	0	0
si:dkey-241l7.2	755	13	30	13	13	10	0	0	0
wdr20b	2538	182	370	729	778	371	75	186	501
mgat2	1794	100	250	588	596	281	82	162	245
rps29	298	237	45	13458	11450	11180	1603	2232	8564
trnas-gcu_262	82	11	20	0	2	0	0	5	0
LOC100334245	1398	154	212	819	667	392	114	348	161
arf6a	1444	111	196	1154	805	418	117	239	346
faua	485	547	179	32069	28437	20958	3323	4636	14036
prpf39	2972	342	519	3708	2907	1643	407	910	786
fkbp3	536	85	179	1353	915	727	156	213	435
actr10	2457	247	424	1465	1242	584	183	390	326
zp2.2	1293	23	110	4	0	6	9	5	0
zp2.3	1352	42	125	0	18	1	0	0	0
si:zfos-1505d6.3	1384	35	80	0	0	0	0	0	44
zp2.6	1352	20	49	0	0	0	0	0	0
zp2.1	1368	23	38	11	0	0	0	0	0
zp2.5	1344	52	106	0	0	0	0	0	0
LOC108180211	992	3	44	0	2	0	0	0	0
pgfa	1367	137	267	42	95	0	0	6	0
cipcb	2341	168	272	1901	1898	1154	303	456	709
znf410	1713	201	294	1591	1185	730	159	455	313
entpd5b	2618	344	480	1514	1481	659	133	453	584
lrfn5b	3221	176	325	1307	894	266	103	270	354
yy1b	2306	219	323	1732	1124	699	171	439	355
evlb	2897	302	396	2241	1603	965	206	483	800
LOC103909376	1085	94	79	785	341	177	48	100	356
LOC108180270	819	53	109	0	0	7	0	3	81
ppp1r35	1062	125	259	148	98	28	6	18	98
zgc:153012	1333	140	171	1038	707	371	79	271	357
LOC101886033	675	81	100	277	77	112	15	36	0
LOC108180286	6400	709	1197	3396	2624	1802	279	716	1194
ora6	1667	115	152	51	49	19	9	11	108
LOC100331694	3132	214	325	533	356	290	52	118	191
pak7	2839	230	300	1873	1459	745	163	347	897
LOC100149080	3129	333	602	1090	1294	688	191	351	706
LOC103909379	2392	8	1	1	0	2	0	3	17
LOC103909380	548	18	57	23	0	0	0	0	0
LOC100005637	1049	32	122	16	0	1	6	0	3
LOC103909381	2234	295	666	123	168	85	34	27	309
LOC101887114	1058	153	128	2322	1406	635	167	279	1486
jmy	2448	154	210	1156	616	636	116	417	400
bhmt	1475	1389	364	50378	39693	21268	4412	9911	26103
dmgdh	3644	458	487	4663	3500	1664	353	701	2091
arsb	1265	154	203	321	130	81	37	158	107
tbc1d13	557	88	143	868	766	145	105	127	407
LOC110438234	1617	113	175	455	426	214	30	129	163
zer1	3303	301	435	1308	1496	696	196	471	394
si:ch1073-398f15.1	4825	217	436	962	856	475	108	267	407
LOC103909382	330	20	31	0	0	0	0	0	0
LOC100537272	4481	678	778	5244	1805	617	252	570	826
LOC110438235	819	103	127	964	318	133	27	101	29
LOC110438236	1410	160	213	1418	438	134	62	203	297
LOC108180776	659	33	78	27	0	0	0	0	0
klhl8	2958	313	395	1003	1047	468	63	305	834
aff1	1828	152	236	107	52	26	5	11	129
ppef2b	1870	277	254	55	56	37	14	32	118
LOC108180774	1117	95	150	123	135	68	27	15	595
gsdf	4464	278	407	397	258	215	76	127	112
LOC101884106	1059	72	88	101	20	47	17	11	59
nup54	2017	261	242	1411	1240	827	141	256	995
bxdc2	1236	195	254	1198	839	906	171	243	493
dtwd2	941	156	213	1627	881	468	84	295	1544
stard4	1366	154	214	288	561	142	34	38	65
jak2a	4502	411	490	923	653	260	132	339	391
rln1	575	4	15	24	0	0	0	0	0
rln	3332	50	111	26	12	5	4	5	39
plgrkt	974	161	172	2227	1962	1123	151	382	1290
LOC103909384	3026	72	134	688	438	127	54	160	251
lhfpl2a	1288	104	129	596	388	214	25	184	368
LOC110438237	664	122	185	275	405	70	24	39	183
znf462	8502	779	1100	7706	5704	2709	765	1894	2420
rad23b	1982	322	351	3938	3093	2045	526	877	1654
klf4	1285	141	254	298	446	158	68	101	57
nop14	2230	284	336	1856	1252	1226	275	410	655
LOC572200	942	129	133	3336	2627	2099	395	724	1476
tmem38b	2042	189	172	1809	1826	750	179	308	2648
LOC101882866	1947	172	249	629	593	310	47	134	304
kiaa2026	3209	213	373	647	549	382	65	233	190
oaz1b	2109	408	388	10856	10075	3416	981	1768	10148
txnl1	1665	306	316	5812	5786	2888	523	940	3775
nars	2467	554	559	12260	15920	7953	1749	3107	18100
wu:fj81e10	2416	213	463	1378	1216	791	179	311	812
LOC103909385	873	46	146	39	99	14	4	22	0
LOC101883704	4580	254	504	1072	709	412	105	235	347
mlana	1168	97	136	1014	843	503	41	233	921
LOC101883443	955	1	0	0	0	0	0	0	0
LOC100535170	542	2	0	0	0	0	0	0	0
LOC101883584	524	1	0	0	0	0	0	0	0
ermp1	1338	134	236	195	278	158	23	121	135
tcf4	2322	281	425	2118	1266	623	171	403	537
LOC101883970	540	46	97	555	511	223	74	159	178
LOC110438215	1797	194	341	1396	1230	921	141	272	578
LOC101884022	1077	183	254	1628	1662	1222	208	352	611
rab27b	1204	169	213	951	1289	599	160	234	1029
wdr91	2567	250	415	881	675	570	112	180	286
vmo1b	1236	84	113	619	463	280	83	51	144
zgc:152948	2461	137	252	253	222	182	36	43	182
fech	3691	241	393	1023	861	324	69	214	569
onecut2	4581	175	352	1926	949	572	160	480	191
LOC103909387	219	0	1	0	0	9	0	0	1
st8sia3	1811	117	198	449	442	84	40	142	156
LOC101884074	1092	163	198	239	289	142	22	38	218
wdr7	3184	507	823	2951	1852	1078	344	822	1036
add1	3390	493	803	6096	4324	2683	481	1359	1742
LOC108180802	3086	165	361	860	1036	1199	177	191	683
si:rp71-1h20.3	1065	29	140	15	93	41	7	0	0
LOC572670	2081	42	257	185	166	140	17	14	95
si:rp71-1h20.5	1600	83	151	147	197	63	24	53	98
LOC100151145	1547	103	198	111	165	54	6	27	110
im:7160358	2598	82	232	284	273	79	47	76	125
LOC103908612	1913	98	249	383	428	79	58	80	286
gb:ai877918	2280	109	226	342	317	156	19	80	75
LOC101883936	1477	76	152	235	242	152	49	52	216
zgc:163077	1962	39	88	112	158	105	25	29	139
zgc:171220	5003	191	352	531	336	67	31	90	133
LOC108180795	1909	85	171	169	106	121	9	24	0
zgc:162971	1471	70	156	282	143	129	17	37	143
LOC110437787	1640	72	160	212	185	67	11	53	33
zgc:113343	2091	86	257	500	477	220	37	41	284
si:dkey-50i6.6	2666	174	319	522	507	260	43	59	145
LOC103909394	1627	81	152	203	197	103	28	93	140
si:ch73-299h12.2	4085	212	381	426	465	151	57	91	300
si:ch73-299h12.4	1550	96	155	382	336	82	41	41	99
si:ch73-299h12.6	1022	58	135	137	117	57	17	40	71
si:ch211-241b2.1	1546	71	251	154	157	129	8	48	2
zgc:66483	1349	100	277	32	19	12	6	6	59
zgc:113348	1389	71	185	450	517	145	41	143	138
zgc:193790	1064	73	156	209	93	33	3	22	25
si:ch73-299h12.8	1007	24	112	45	25	8	5	23	0
LOC110438216	5068	54	208	26	18	14	0	6	7
si:ch73-299h12.9	1687	68	155	112	33	62	8	36	108
LOC110437819	2250	108	222	78	35	17	17	8	94
si:ch211-241b2.4	1104	58	118	75	74	21	3	7	157
si:ch211-241b2.5	2634	258	477	98	92	117	15	34	403
LOC103909401	765	32	143	340	293	239	24	11	352
LOC101883468	1702	57	209	71	59	18	2	9	48
LOC110438217	181	20	88	11	0	8	0	0	0
LOC101884484	2502	95	354	35	41	0	4	8	181
hmgcrb	3410	333	694	1076	1407	758	192	413	1051
col4a3bpb	3671	417	679	3811	3696	1760	439	711	1997
LOC103909406	919	65	202	392	425	243	70	125	20
LOC100332173	826	104	233	736	350	194	21	170	200
sema4d	2252	258	527	614	740	226	93	167	352
LOC101885243	2539	96	102	15	2	0	0	0	0
LOC110438218	4243	161	349	218	226	146	33	39	205
LOC100331532	106	16	31	4	17	14	4	4	40
znf971	1665	57	172	133	164	39	18	55	133
zgc:194215	1907	114	198	98	22	33	9	10	24
LOC110437744	2373	46	135	122	146	101	2	44	90
LOC100150791	1726	17	56	0	4	0	0	2	0
LOC110438219	910	75	175	197	83	82	10	42	216
zgc:86839	1022	86	172	101	107	63	13	32	165
si:ch211-248k15.5	614	0	0	0	0	0	0	0	0
shc3	5259	435	924	1438	1382	526	147	424	874
LOC100332187	1790	84	234	267	259	98	15	43	330
hnrnpabb	1648	301	341	8112	6055	3486	522	1683	3420
zbtb7c	6441	246	694	506	508	248	46	65	436
ctif	2599	345	719	3568	2814	1634	302	669	1792
smad7	1580	132	196	945	643	301	86	248	50
dym	2147	241	493	794	1094	484	123	314	458
atp8b1	4696	441	961	2692	2945	1624	446	611	1877
LOC103909407	599	42	62	63	51	9	0	25	0
scamp1	2265	256	429	2024	1615	576	134	386	375
tor1	2236	146	312	774	1130	516	159	194	713
nsa2	1181	98	138	1936	1518	1147	222	334	822
spout1	1357	164	474	560	514	282	64	107	203
st6galnac6	1729	123	318	560	424	249	40	150	151
st6galnac4	1221	95	254	217	413	119	7	57	2
fam73b	2233	254	529	920	1041	451	119	239	652
dolpp1	1341	157	331	2012	2077	989	193	277	1918
setx	8609	581	1372	2160	2132	771	248	449	1258
ntng2b	6247	331	774	1291	984	481	110	310	424
rapgef1b	8497	538	1134	2953	2133	1270	360	619	1325
uck1	1053	149	242	625	642	252	57	106	454
dnlz	1319	77	188	176	132	101	28	43	43
lrrc8aa	2996	216	461	1324	1639	678	167	372	708
LOC103909414	2638	27	99	0	0	0	1	4	33
si:dkey-84o3.2	1596	17	40	22	15	0	0	0	0
pimr163	1587	4	15	0	0	0	0	0	0
LOC100149285	530	2	13	0	0	0	0	0	0
pimr160	347	0	0	0	0	0	0	0	0
LOC100331049	1342	18	50	8	15	1	0	0	0
LOC110438220	1585	3	6	0	0	1	0	0	0
si:dkey-84o3.7	907	16	43	0	0	0	0	0	51
pimr161	643	2	10	0	0	0	0	0	0
LOC100331451	1220	2	9	0	0	0	0	0	0
LOC110438238	609	10	11	0	0	0	0	3	0
LOC110438221	877	0	0	0	0	0	0	0	0
LOC100535800	1101	8	14	0	0	0	0	0	0
LOC108179121	682	10	8	0	0	0	0	0	0
LOC100534990	1794	5	26	0	0	0	0	0	0
LOC799834	1428	2	21	0	0	7	0	0	0
LOC799072	1708	1	16	6	0	0	0	0	0
LOC559585	1261	0	10	0	0	0	0	0	0
pimr166	1644	5	38	0	0	0	0	0	0
phyhd1	1450	116	356	1080	998	603	100	180	629
dolk	1824	138	244	569	490	268	43	88	287
nup188	5522	622	1204	3256	2499	1335	344	718	1386
zgc:55582	10366	813	2111	6388	5821	3353	744	1493	2300
si:dkey-102g19.3	718	32	130	74	80	21	5	13	4
camsap1a	5892	600	912	1959	1571	765	181	442	837
notch1a	7474	726	1418	3354	2398	1238	317	875	772
kcnt1	3927	293	826	505	526	188	73	115	299
si:ch73-29c22.1	1188	132	246	152	256	51	26	45	0
LOC101883349	1113	93	143	38	72	20	2	23	59
rnf165a	5037	344	603	2313	1761	838	219	505	649
zgc:77838	10172	419	890	2212	1572	649	168	423	1218
haus1	1019	73	210	120	95	31	13	20	55
atp5a1	1851	1102	411	33243	25461	13902	3224	7728	11204
thbs4b	3387	404	699	6591	5486	3302	595	1247	2520
zgc:122979	1614	138	195	2667	2200	1376	192	483	475
si:dkey-121h17.7	1534	67	240	110	36	90	25	35	51
rpl37	344	245	131	15768	15114	9562	1760	1682	7401
st8sia5	3972	316	440	3527	2704	1116	304	487	2314
LOC110437707	2067	222	658	130	139	132	11	45	323
LOC110438239	999	79	233	87	93	11	25	27	0
loxhd1a	4084	373	794	268	218	92	20	52	150
psmd5	1776	181	358	590	375	140	50	106	283
si:ch211-134a4.1	1336	68	188	696	701	358	99	61	656
